country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Bhutan,BTN,5/1/2021,480498,480498,,76,117,62.27,62.27,,152,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4122201477841437/
Bolivia,BOL,5/1/2021,848149,614600,233549,,27362,7.27,5.27,2,2344,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://twitter.com/SaludDeportesBo/status/1388682377866657793
Bosnia and Herzegovina,BIH,4/9/2021,15000,15000,,,263,0.46,0.46,,80,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-prvu-dozu-vakcine-primilo-vise-od-33-300-gradjana-procentualno-najvise-u-gorazdu/210424031
Botswana,BWA,4/23/2021,47160,47160,,,1501,2.01,2.01,,638,Oxford/AstraZeneca,Ministry of Health and Wellness,https://www.facebook.com/BotswanaGovernment/photos/3949940011755294
Brazil,BRA,5/2/2021,43173356,29421191,13752165,137177,735178,20.31,13.84,6.47,3459,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
Brunei,BRN,4/23/2021,10715,10715,,,494,2.45,2.45,,1129,Oxford/AstraZeneca,Ministry of Health,https://borneobulletin.com.bn/innoculation-drive-senior-citizens-begins-tomorrow-2/
Bulgaria,BGR,5/2/2021,824623,608428,216195,3405,14483,11.87,8.76,3.11,2084,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Cambodia,KHM,5/2/2021,2411279,1422722,988557,76570,54759,14.42,8.51,5.91,3275,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,http://www.freshnewsasia.com/index.php/en/localnews/196247-2021-05-02-15-23-40.html
Cameroon,CMR,4/12/2021,400,400,,400,400,0,0,,15,Sinopharm/Beijing,Medical Council,https://www.voanews.com/africa/cameroon-health-workers-doubt-efficacy-chinese-covid-vaccines
Canada,CAN,5/2/2021,13825476,12696698,1128778,173101,254348,36.63,33.64,2.99,6739,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cape Verde,CPV,3/24/2021,2184,2184,,,364,0.39,0.39,,655,Oxford/AstraZeneca,Government of Cape Verde,https://www.noticiasaominuto.com/mundo/1718730/cabo-verde-vacinou-mais-de-metade-dos-profissionais-de-saude-numa-semana
Cayman Islands,CYM,4/30/2021,65694,35774,29920,,213,99.96,54.43,45.53,3241,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics
Chile,CHL,5/1/2021,14848435,8112125,6736310,1785,107266,77.67,42.44,35.24,5611,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
China,CHN,5/2/2021,275338000,,,4932000,7205286,19.13,,,5006,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/a7bed5e941be4e679c83bcb4ee5b603b.shtml
Colombia,COL,5/1/2021,5112694,3412223,1700471,126223,101726,10.05,6.71,3.34,1999,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://app.powerbi.com/view?r=eyJrIjoiYjc0NTBhZGMtZGM2NS00YjA0LTljNGYtYTJkNWI1YTJlYzAwIiwidCI6Ijc0YzBjMjUwLTFjNzctNDA1ZC05YjFlLTlhYzFmNTA4YWJlMyIsImMiOjR9&pageName=ReportSectionad9662980220d3261e68
Congo,COG,4/14/2021,14297,14297,,,,0.26,0.26,,,"Sinopharm/Beijing, Sputnik V",Government of the Republic of Congo,https://gouvernement.cg/coronavirus-communique-de-la-coordination-nationale-de-gestion-de-la-pandemie-de-coronavirus-covid-19-suite-a-sa-reunion-du-mercredi-14-avril-2021/
Costa Rica,CRI,4/26/2021,818884,538682,280202,,17222,16.08,10.57,5.5,3381,Pfizer/BioNTech,Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Cote d'Ivoire,CIV,5/2/2021,163176,163176,,4195,6329,0.62,0.62,,240,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1892402124258806
Croatia,HRV,5/2/2021,908839,708137,200702,1264,16177,22.14,17.25,4.89,3941,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.index.hr/vijesti/clanak/stozer-imamo-349-novih-i-4193-testiranja-umrlo-36-ljudi/2273224.aspx
Curacao,CUW,5/2/2021,97504,72861,24643,8,1827,59.42,44.4,15.02,11133,"Moderna, Pfizer/BioNTech",Government of Curacao,https://bakuna.cw/
Cyprus,CYP,4/23/2021,236265,176082,60183,,4832,26.97,20.1,6.87,5517,Pfizer/BioNTech,Government of Cyprus,https://www.pio.gov.cy/en/press-releases-article.html?id=19881#flat
Czechia,CZE,5/2/2021,3201704,2195779,1012157,19796,53057,29.9,20.5,9.45,4954,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Democratic Republic of Congo,COD,4/25/2021,1700,1700,,,243,0,0,,3,Oxford/AstraZeneca,Ministry of Health,https://www.theeastafrican.co.ke/tea/rest-of-africa/drc-to-return-vaccines-3380784
Denmark,DNK,5/1/2021,2007041,1350867,656174,13365,32342,34.65,23.32,11.33,5584,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Djibouti,DJI,4/17/2021,10246,10246,,,,1.04,1.04,,,Oxford/AstraZeneca,Présidence de la République de Djibouti,https://reliefweb.int/report/iran-islamic-republic/covid-19-situation-updates-week-15-11-17-april-2021
Dominica,DMA,4/28/2021,27821,18498,9323,,848,38.65,25.69,12.95,11779,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/updates
Dominican Republic,DOM,5/1/2021,1982185,1185502,796683,12167,36563,18.27,10.93,7.34,3371,"Oxford/AstraZeneca, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
